STATE BANK,KAIKAMBA GANESHAPURA,CARSRSTREET;LADYHILL;KULUR;BYKAMPADY;SURATAKAL,16:45,17:43,22.5
KAIKAMBA GANESHAPURA,STATE BANK,SURATAKAL;BYKAMPADY;KULUR;LADYHILL;CARSRSTREET;,18:00,18:58,22.5
STATE BANK,KUTTETURU,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;HONNAKATTE;MANGALAPETE0803,07:11,08:16,24.8
KUTTETURU,STATE BANK,MANGALAPETE 0829;,08:16,09:21,24.8
STATE BANK,MANGALAPETE,MANGALAPETE 0830,09:21,10:13,20.3
MANGALAPETE,STATE BANK,MANGALAPETE 0831;,10:22,11:14,20.3
STATE BANK,MANGALAPETE,MANGALAPETE 0832,11:27,12:19,20.3
MANGALAPETE,STATE BANK,MANGALAPETE 0833;,12:50,13:42,20.3
STATE BANK,MANGALAPETE,JYOTHI CIRCLE;LALBAGH;KULUR;BYKAMPADY;HONNAKATTE,13:57,14:49,20.3
MANGALAPETE,STATE BANK,HONNAKATTE;BYKAMPADY;KULUR;LALBAGH;JYOTHI CIRCLE;,15:40,16:32,20.3
STATE BANK,KUTTETURU,MANGALAPETE 1740,16:48,17:53,24.8
KUTTETURU,STATE BANK,MANGALAPETE 1806;,17:53,18:58,24.8
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,07:52,08:24,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,08:35,09:07,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,09:17,09:49,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,10:00,10:32,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,10:52,11:24,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,11:26,11:58,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,12:10,12:42,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,12:45,13:17,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,13:52,14:24,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,14:30,15:02,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,15:05,15:37,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,16:00,16:32,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,16:37,17:09,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,17:20,17:52,10
STATE BANK,BAJAL CHURCH,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,18:08,18:40,10
BAJAL CHURCH,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,19:00,19:32,10
STATE BANK,JALLIGUDDE,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,06:58,07:30,9.8
JALLIGUDDE,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,07:37,08:10,9.8
STATE BANK,JALLIGUDDE,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,08:17,08:50,9.8
JALLIGUDDE,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,08:52,09:25,9.8
STATE BANK,FAIZALNAGARA,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,09:32,10:05,9.1
FAIZALNAGARA,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,10:25,10:58,9.1
STATE BANK,JALLIGUDDE,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,11:08,11:41,9.8
JALLIGUDDE,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,11:50,12:23,9.8
STATE BANK,JALLIGUDDE,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,14:52,15:25,9.8
JALLIGUDDE,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,15:27,16:00,9.8
STATE BANK,JALLIGUDDE,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,16:17,16:50,9.8
JALLIGUDDE,STATE BANK,PADIL;NAGURI;KANKANADY;JYOTHI CIRCLE;,17:08,17:41,9.8
STATE BANK,FAIZALNAGARA,JYOTHI CIRCLE;KANKANADY;NAGURI;PADIL,17:55,18:28,9.1
